lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,,,loss_train,loss_val
,1799,0.42353797,2.92659235,0.010073386,0.120805338,11,,,,,,,,,,94,0.457781225,0.407544732
,1847,,,,,11,0.408181131,2.836769342,0.011595936,0.112908274,,,,,,95,0.461904407,0.393601358
,1847,,,,,11,,,,,0.471014619,3.378689766,0.015142714,0.11800316,,96,0.464916199,0.412859201
0.0001,1849,,,,,,,,,,,,,,,97,0.467878461,0.415880144
,1849,0.56720078,4.303399086,0.009719905,0.127140954,12,,,,,,,,,,98,0.458170563,0.417038172
0.0001,1899,,,,,,,,,,,,,,,99,0.452085853,0.39317143
,1899,0.542778611,3.816292048,0.010934327,0.150215089,12,,,,,,,,,,100,0.466050923,0.403356284
0.0001,1949,,,,,,,,,,,,,,,101,0.456285536,0.412089109
,1949,0.400616825,2.725646019,0.007658371,0.120393842,12,,,,,,,,,,102,0.45433864,0.417699277
0.0001,1999,,,,,,,,,,,,,,,103,0.465696126,0.409500092
,1999,0.480789483,3.364059448,0.011437895,0.132945642,12,,,,,,,,,,104,0.454473376,0.417476594
,2001,,,,,12,0.428231895,3.018500805,0.013590205,0.112791583,,,,,,105,0.455984026,0.403961986
,2001,,,,,12,,,,,0.478933692,3.448321104,0.012819359,0.121282227,,106,0.458357275,0.411368936
0.0001,2049,,,,,,,,,,,,,,,107,0.464364618,0.415314406
,2049,0.545522153,4.068977833,0.011107826,0.127516538,13,,,,,,,,,,108,0.460440308,0.382420331
0.0001,2099,,,,,,,,,,,,,,,109,0.465117097,0.418342292
,2099,0.374830127,2.906157732,0.010202683,0.074011654,13,,,,,,,,,,110,0.456220955,0.409654468
0.0001,2149,,,,,,,,,,,,,,,111,0.466236711,0.379258275
,2149,0.472174555,3.290476799,0.012737725,0.130389124,13,,,,,,,,,,112,0.462606341,0.409386098
,2155,,,,,13,0.400874645,2.731212616,0.01141765,0.11633575,,,,,,113,0.452719003,0.420882791
,2155,,,,,13,,,,,0.459155887,3.253458261,0.012574907,0.121235125,,114,0.47610113,0.435168624
0.0001,2199,,,,,,,,,,,,,,,115,0.455870807,0.405083448
