Perovskite,Hill formula,Interlayer space composition,Dopant,"Dopant, wt%","Bandgap, eV",DOI,Materials Project ID,COD_ID,Springer_ID,Z,Z_MP,"a, A","b, A","c, A",Symmetry group,"d,A",a_MP,b_MP,c_MP,XRD pattern,Crystal structure,Number of octahedrons on a layer,Valence electrons,Volume,Valence Electrons Density,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,Average Pauling electronegativity,Average Mulliken electronegativity
CsPrTa2O7,Cs O7 Pr Ta2,,,,3.55,10.1039/B301938C,-1,-1,,,0,3.88,3.88,11.066,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,2.818181818,0.244186047,0.325581395,0.069767442,0.360465116,0.79,3.44,2.65,2.636363636,2.636363636,5.96565794
HNdTa2O7,H Nd O7 Ta2,,,,4.2,10.1039/B301938C,-1,-1,,,0,3.92,3.92,11.065,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,2.909090909,0.24137931,0.32183908,0.068965517,0.367816092,1.14,3.44,2.3,2.765454545,2.765454545,6.421592273
NaNdTa2O7,Na Nd O7 Ta2,,,,4.15,10.1039/B301938C,-1,-1,,,0,3.92,3.92,11.7911,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,2.909090909,0.24137931,0.32183908,0.068965517,0.367816092,0.93,3.44,2.51,2.65,2.65,6.027681846
RbNdTa2O7,Nd O7 Rb Ta2,,,,4.15,10.1039/B301938C,-1,-1,,,0,3.92,3.92,11.5395,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,2.909090909,0.24137931,0.32183908,0.068965517,0.367816092,0.82,3.44,2.62,2.64,2.64,5.98113826
CsNdTa2O7,Cs Nd O7 Ta2,,,,4.15,10.1039/B301938C,-1,-1,,,0,3.84,3.84,11.5395,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,2.909090909,0.24137931,0.32183908,0.068965517,0.367816092,0.79,3.44,2.65,2.637272727,2.637272727,5.967615154
HSmTa2O7,H O7 Sm Ta2,,,,4.15,10.1039/B301938C,-1,-1,,,0,3.85,3.85,10.95,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,3.090909091,0.235955056,0.314606742,0.06741573,0.382022472,1.17,3.44,2.27,2.768181818,2.768181818,6.429920305
NaSmTa2O7,Na O7 Sm Ta2,,,,4.25,10.1039/B301938C,-1,-1,,,0,3.88,3.88,11.54,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,3.090909091,0.235955056,0.314606742,0.06741573,0.382022472,0.93,3.44,2.51,2.652727273,2.652727273,6.036009878
RbSmTa2O7,O7 Rb Sm Ta2,,,,4.25,10.1039/B301938C,-1,-1,,,0,3.85,3.85,11.3,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,3.090909091,0.235955056,0.314606742,0.06741573,0.382022472,0.82,3.44,2.62,2.642727273,2.642727273,5.989466291
CsSmTa2O7,Cs O7 Sm Ta2,,,,4.25,10.1039/B301938C,-1,-1,,,0,3.76,3.76,11.41,P4/mmm,,0,,,1,,2,14,0,,1.909090909,2.545454545,0.545454545,3.090909091,0.235955056,0.314606742,0.06741573,0.382022472,0.79,3.44,2.65,2.64,2.64,5.975943185
LiCa2Ta3O10,Ca2 Li O10 Ta3,,,,3.2,10.1246/bcsj.81.401,mp-774479,1522041,,,1,3.85,3.85,28.362,I4/mmm,,14.18312793,14.18312793,14.18312793,1,,,20,215.8165105,0.092671316,1.9375,2.5,0.5625,2.625,0.254098361,0.327868852,0.073770492,0.344262295,0.98,3.44,2.46,2.6175,2.6175,6.021714161
HCa2Nb3O10,Ca2 H Nb3 O10,,,,3.5,10.1021/cm9007766,-1,-1,sd_1050391,,0,,,,,,0,,,1,,,20,0,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,1,3.44,2.44,2.7125,2.7125,6.264025611
HCa2Nb3O10,Ca2 H Nb3 O10,,,,3.5,10.1039/B903692J,-1,-1,sd_1050391,,0,3.85,3.85,29.2967,tetragonal,,0,,,1,,,20,0,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,1,3.44,2.44,2.7125,2.7125,6.264025611
HSr2Nb3O10,H Nb3 O10 Sr2,,,,3.3,10.1039/B903692J,-1,-1,,,0,3.89,3.89,33.3,tetragonal,,0,,,1,,,20,0,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.95,3.44,2.49,2.70625,2.70625,6.239602297
HLaNb2O7,H La Nb2 O7,,,,3.23,10.1039/B903692J,mp-1205881,-1,sd_1241782,,1,3.89,3.89,21.29,tetragonal,,3.926332,3.926332,10.74639,1,,,14,165.6672399,0.08450675,1.727272727,2.545454545,0.818181818,0,0.339285714,0.5,0.160714286,0,1.1,3.44,2.34,2.78,2.78,6.427005223
KSr2Nb3O10,K Nb3 O10 Sr2,,,,3.47,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.821,7.765,30.08,P212121,,0,,,1,PDF#51-1876,,20,0,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.82,3.44,2.62,2.62,2.62,5.942386368
KSr2TaNb2O10,K Nb2 O10 Sr2 Ta,,,,3.76,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.821,7.765,30.96,P212121,,0,,,1,,,20,0,,1.8125,2.5,0.6875,0.875,0.308510638,0.425531915,0.117021277,0.14893617,0.82,3.44,2.62,2.61375,2.61375,5.94852493
KSr2Ta1.5Nb1.5O10,K Nb O10 Sr2 Ta,,,,3.76,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.821,7.765,29.84,P212121,,0,,,1,,,20,0,,1.866666667,2.666666667,0.466666667,0.933333333,0.314606742,0.449438202,0.078651685,0.157303371,0.82,3.44,2.62,2.681333333,2.681333333,6.089218025
KSr2Ta2NbO10,K Nb O10 Sr2 Ta2,,,,3.91,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.821,7.765,30.08,P212121,,0,,,1,,,20,0,,1.875,2.5,0.625,1.75,0.277777778,0.37037037,0.092592593,0.259259259,0.82,3.44,2.62,2.6075,2.6075,5.954663493
KSr2Ta3O10,K O10 Sr2 Ta3,,,,4.29,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.844,7.769,29.72,P212121,,0,,,1,PDF#52-1863,,20,0,,1.9375,2.5,0.5625,2.625,0.254098361,0.327868852,0.073770492,0.344262295,0.82,3.44,2.62,2.60125,2.60125,5.960802055
HSr2Nb3O10,H Nb3 O10 Sr2,,,,3.5,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.814,7.814,33.06,,,0,,,1,,,20,0,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.95,3.44,2.49,2.70625,2.70625,6.239602297
HSr2TaNb2O10,H Nb2 O10 Sr2 Ta,,,,3.77,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.814,7.814,32.86,,,0,,,1,,,20,0,,1.8125,2.5,0.6875,0.875,0.308510638,0.425531915,0.117021277,0.14893617,0.95,3.44,2.49,2.7,2.7,6.245740859
HSr2Ta1.5Nb1.5O10,H Nb O10 Sr2 Ta,,,,3.8,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.814,7.814,32.42,,,0,,,1,,,20,0,,1.866666667,2.666666667,0.466666667,0.933333333,0.314606742,0.449438202,0.078651685,0.157303371,0.95,3.44,2.49,2.773333333,2.773333333,6.40624835
HSr2Ta2NbO10,H Nb O10 Sr2 Ta2,,,,3.92,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.814,7.814,32.58,,,0,,,1,,,20,0,,1.875,2.5,0.625,1.75,0.277777778,0.37037037,0.092592593,0.259259259,0.95,3.44,2.49,2.69375,2.69375,6.251879422
HSr2Ta3O10,H O10 Sr2 Ta3,,,,4.25,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.814,7.814,31.54,,,0,,,1,,,20,0,,1.9375,2.5,0.5625,2.625,0.254098361,0.327868852,0.073770492,0.344262295,0.95,3.44,2.49,2.6875,2.6875,6.258017984
HSr2Nb3O10,H Nb3 O10 Sr2,,Pt,4,3.35,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.76,7.76,33,,,0,,,1,,,20,0,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.95,3.44,2.49,2.70625,2.70625,6.239602297
HSr2TaNb2O10,H Nb2 O10 Sr2 Ta,,Pt,4,3.74,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.76,7.76,33.08,,,0,,,1,,,20,0,,1.8125,2.5,0.6875,0.875,0.308510638,0.425531915,0.117021277,0.14893617,0.95,3.44,2.49,2.7,2.7,6.245740859
