loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,epoch,step,lr-Adam,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_step,loss_val
2.032708406,16.31715965,0.09247198,0.308520675,36,1331,,,,,,,,,,96,3.087123871,
,,,,,1349,1.00E-06,,,,,,,,,97,2.632158279,2.346904278
,,,,37,1349,,0.377746105,2.768489122,0.047174454,0.05372275,,,,,98,1.556418657,
1.69779563,12.68753815,0.073669679,0.35537222,37,1367,,,,,,,,,,99,0.473700702,
,,,,,1399,1.00E-06,,,,,,,,,100,6.019418716,2.489121199
,,,,38,1399,,5.7345438,49.53370667,0.028788883,0.752384424,,,,,101,0.567325354,
1.881399632,14.5047369,0.104614727,0.326311231,38,1403,,,,,,,,,,102,0.498933107,
,,,,39,1439,,,,,,3.089203835,26.74388885,0.086253837,0.328560978,103,0.424821824,2.42498827
1.978003621,15.7384901,0.083915211,0.320239305,39,1439,,,,,,,,,,104,1.342577219,
,,,,,1449,1.00E-06,,,,,,,,,105,1.786506891,
,,,,40,1449,,7.203095913,65.11936951,0.265954584,0.425204128,,,,,106,1.076038957,1.756477714
1.76042974,13.44246387,0.087329425,0.328854114,40,1475,,,,,,,,,,107,5.273292065,
,,,,,1499,1.00E-06,,,,,,,,,108,0.230578214,
,,,,41,1499,,0.521261275,1.954017282,0.014380113,0.311479449,,,,,109,5.205909252,2.015437603
1.842309713,14.03715324,0.056005854,0.382588267,41,1511,,,,,,,,,,110,3.941624641,
1.797065973,14.40485668,0.089050658,0.267529815,42,1547,,,,,,,,,,111,3.086482048,
,,,,,1549,1.00E-06,,,,,,,,,112,0.642024398,1.73157835
,,,,43,1549,,0.499884576,0.002927759,0.001670341,0.497921467,,,,,113,5.786836147,
1.61334157,11.76049232,0.091288343,0.346004009,43,1583,,,,,,,,,,114,0.985952735,
,,,,,1599,1.00E-06,,,,,,,,,115,0.427833736,2.031463385
,,,,44,1599,,0.846254051,0.961778641,0.014560806,0.735515356,,,,,116,0.464625686,
,,,,44,1619,,,,,,2.397732019,20.11537552,0.079646669,0.306547612,117,0.61020875,
1.890410781,14.78748703,0.091536783,0.320124954,44,1619,,,,,,,,,,118,0.355827093,1.767811298
,,,,,1649,1.00E-06,,,,,,,,,119,1.452325821,
,,,,45,1649,,2.899269104,22.00538826,0.164706036,0.534024239,,,,,120,2.705149174,
1.966325521,15.0515728,0.098474532,0.362693936,45,1655,,,,,,,,,,121,1.361925006,
1.781529903,13.11538696,0.082336828,0.387654424,46,1691,,,,,,,,,,122,2.874087334,
,,,,,1699,1.00E-06,,,,,,,,,123,3.291637897,
,,,,47,1699,,1.526466966,12.97549534,0.147870034,0.081047356,,,,,124,0.27160278,
1.842049479,14.99407959,0.083817363,0.258824348,47,1727,,,,,,,,,,125,2.725701332,
,,,,,1749,1.00E-06,,,,,,,,,126,0.896201968,
,,,,48,1749,,3.081634521,27.64061928,0.084683657,0.232888728,,,,,127,0.351358771,
1.974514008,16.26819038,0.084257029,0.263437718,48,1763,,,,,,,,,,128,0.998627663,
