lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_epoch,loss_val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.267898649,2.49256444,0.01585399,0.002788199,12,,,,,,,,,42,1.379324436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,701,,,,,12,1.696539164,13.99398994,0.052798774,0.244341373,,,,,43,1.434887171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,749,,,,,,,,,,,,,,44,1.372783661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,0.411310911,3.198066711,0.00450315,0.0870011,13,,,,,,,,,45,1.248225689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,755,,,,,13,1.481109142,12.48594379,0.03816545,0.194349706,,,,,46,1.360752106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,799,,,,,,,,,,,,,,47,1.212382317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,3.714342117,34.47756195,0.175373882,0.091212116,14,,,,,,,,,48,1.276533008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,809,,,,,14,,,,,1.404687524,11.9352417,0.039517321,0.171646029,49,1.471533179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,809,,,,,14,1.555633783,12.59706402,0.055212673,0.240714863,,,,,50,1.365773678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,849,,,,,,,,,,,,,,51,1.281543016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,1.785787821,15.44039726,0.21712707,0.024620954,15,,,,,,,,,52,1.180277348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,863,,,,,15,1.475364208,12.62886906,0.042070493,0.170406505,,,,,53,1.506232619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,899,,,,,,,,,,,,,,54,1.336787462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,1.186060071,11.58722591,0.023286639,0.004050881,16,,,,,,,,,55,1.204141021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,917,,,,,16,1.554671764,12.89396191,0.051341876,0.213933557,,,,,56,1.375197768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,949,,,,,,,,,,,,,,57,1.273648143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,0.946273327,6.664144516,0.278187037,0.001671792,17,,,,,,,,,58,1.261424422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,971,,,,,17,1.425762177,11.47900581,0.079039015,0.198822677,,,,,59,1.26811111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,999,,,,,,,,,,,,,,60,1.119432569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.438518614,1.637549877,0.002231759,0.272531867,18,,,,,,,,,61,1.231016994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1025,,,,,18,1.665737987,14.20201874,0.034646586,0.210889801,,,,,62,1.247993588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1049,,,,,,,,,,,,,,63,1.100419641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,1.119790792,9.599134445,0.014744756,0.145132616,19,,,,,,,,,64,1.384311557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1079,,,,,19,,,,,1.690316439,14.64084435,0.02097987,0.205251902,65,1.351567745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1079,,,,,19,1.405548096,11.37410069,0.053618573,0.214519948,,,,,66,1.07114625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1099,,,,,,,,,,,,,,67,1.074635029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1099,0.949848294,8.657976151,0.018598566,0.065452099,20,,,,,,,,,68,1.155080199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1133,,,,,20,1.263295889,10.23787022,0.042531863,0.196977064,,,,,69,1.127452374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1149,,,,,,,,,,,,,,70,1.179601192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1149,2.035512447,17.01000214,0.009025868,0.325486302,21,,,,,,,,,71,1.167173266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1187,,,,,21,1.458432198,11.75468254,0.035981521,0.246982202,,,,,72,1.520690322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1199,,,,,,,,,,,,,,73,1.111554384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1199,1.016043186,8.170214653,0.004749287,0.194272414,22,,,,,,,,,74,1.247314572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1241,,,,,22,1.272750735,10.26609421,0.046759412,0.199382216,,,,,75,1.332835317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1249,,,,,,,,,,,,,,76,1.211212277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1249,0.29363969,0.885227442,0.002579096,0.202537835,23,,,,,,,,,77,1.164075971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1295,,,,,23,1.470937848,12.05143356,0.031213202,0.23458147,,,,,78,1.382832527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1299,,,,,,,,,,,,,,79,1.276938319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1299,1.363798022,10.84497547,0.076760866,0.202539563,24,,,,,,,,,80,1.224512696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1349,,,,,,,,,,,,,,81,1.156068563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,3.261276245,25.97846222,0.066900015,0.596529782,24,,,,,,,,,82,1.229848385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,,,,,24,,,,,0.781621337,5.695250988,0.033529811,0.178566277,83,1.196676373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,,,,,24,1.673192024,14.39646053,0.046086114,0.187459677,,,,,84,1.220412254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1399,,,,,,,,,,,,,,85,1.070976853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1399,0.142515182,0.226634324,0.00198868,0.117863066,25,,,,,,,,,86,1.058297753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1403,,,,,25,1.384772778,11.2674017,0.04861857,0.209413826,,,,,87,1.249538302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1449,,,,,,,,,,,,,,88,1.067407012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1449,0.212188214,1.523845315,0.003797365,0.056006324,26,,,,,,,,,89,1.432284594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1457,,,,,26,1.611961961,13.57603264,0.048275128,0.206083775,,,,,90,1.125187635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1499,,,,,,,,,,,,,,91,1.080501556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1499,0.168044165,0.001496401,0.000701295,0.167193234,27,,,,,,,,,92,1.266694188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1511,,,,,27,1.090150356,8.458774567,0.026603857,0.217669025,,,,,93,1.20149982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1549,,,,,,,,,,,,,,94,1.162477493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1549,0.803325534,7.627693653,0.028479367,0.012076844,28,,,,,,,,,95,1.178312063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1565,,,,,28,1.339155078,11.04417133,0.03733306,0.197405279,,,,,96,1.011697054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1599,,,,,,,,,,,,,,97,1.443908453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
